algo,WORK4FOOD
min_wage_per_second,_dynamic_driverreject
start_day,1
end_day,1
orders_assigned,22724
total_drivers,1686
total_active_time,622448
total_payment,223852
total_payment_above_minwage_mwo_dyn,53896
total_payment_below_minwage_mwo_dyn,10786
total_pay_guarantee_mwo_dyn,180742
total_cost_to_platform_mwo_dyn,234638
num_drivers_below_minwage_mwo_dyn,608
gini_normalized_mwo_dyn,0.297
gini_normalized_foreach_mwo0,0.285
total_payment_above_minwage_mwo25,72404
total_payment_below_minwage_mwo25,4164
total_pay_guarantee_foreach_mwo25,155612
total_cost_to_platform_mwo25,228016
num_drivers_below_minwage_mwo25,230
gini_normalized_foreach_mwo25,0.259
average_wait_time_per_driver,0.15
average_travelled_time_per_driver,2.06
average_active_time_per_driver,6.15
average_worked_fraction_per_driver,0.36
average_pay_per_driver,132.77
average_delivery_time,17.38
average_xdt,2.19
frac_drivers_with_non-zero_pay,0.9917
per_higher_3_xdt,27.7240
per_higher_5_xdt,14.3901
per_higher_10_xdt,2.9924
gini_work_for_guaranteed_pay,0.0256
gini_pay_per_worked_hour,0.2105
total_travelled_distance,148397.99749521303
